PWSID,Mechanism
"	CA1995000",Elections
CA1900075,N/A
CA1900100,N/A
CA1900102,N/A
CA1900130,N/A
CA1900145,N/A
CA1900146,N/A
CA1900301,N/A
CA1900303,N/A
CA1900523,N/A
CA1900563,N/A
CA1900794,N/A
CA1900803,N/A
CA1900804,N/A
CA1900809,N/A
CA1900903,N/A
CA1900936,N/A
CA1907014,Elections
CA1909006,Elections
CA1910001,Elections
CA1910002,N/A
CA1910003,Elections
CA1910006,Elections
CA1910007,Elections
CA1910009,Elections
CA1910011 ,Appointment
CA1910142,Appointment
CA1910024,Appointment
CA1910212,Appointment
CA1910223,Appointment
CA1910155 ,Appointment
CA1910030 ,Appointment
CA1910098,Appointment
CA1910004,Appointment
CA1910195 ,Appointment
CA1910072 ,Appointment
CA1910077 ,Appointment
CA1910012,N/A
CA1910013,Elections
CA1910018,Elections
CA1910019,Elections
CA1910020,N/A
CA1910021 ,Elections
CA1910211,Elections
CA1910161,Elections
CA1910023,N/A
CA1910026,Elections
CA1910028,Elections
CA1910029,Elections
CA1910032,Elections
CA1910034,Elections
CA1910035,Elections
CA1910038,Elections
CA1910040,Elections
CA1910041,Elections
CA1910042,Elections
CA1910043,Elections
CA1910044,Elections
CA1910045,Elections
CA1910049,Elections
CA1910051,Elections
CA1910053,N/A
CA1910054,Elections
CA1910056,N/A
CA1910060,Elections
CA1910061,N/A
CA1910062,Elections
CA1910063,N/A
CA1910064,Elections
CA1910065,Elections
CA1910067,Elections
CA1910073,Elections
CA1910079,Elections
CA1910081,N/A
CA1910083,Elections
CA1910084,N/A
CA1910085,N/A
CA1910086,N/A
CA1910087,Appointment
CA1910090,Elections
CA1910091,N/A
CA1910092,Elections
CA1910101,Elections
CA1910102,Elections
CA1910103,N/A
CA1910105,Elections
CA1910117,Elections
CA1910124,Elections
CA1910125,Elections
CA1910126,Elections
CA1910127,Elections
CA1910128,N/A
CA1910130,Elections
CA1910140,N/A
CA1910141,N/A
CA1910143,Elections
CA1910144,Elections
CA1910146,Elections
CA1910148,Elections
CA1910149,Elections
CA1910152,Elections
CA1910153,Elections
CA1910154,Elections
CA1910156,Elections
CA1910157,Elections
CA1910158,N/A
CA1910159,N/A
CA1910160,N/A
CA1910163,N/A
CA1910165,N/A
CA1910166,N/A
CA1910167,Elections
CA1910169,N/A
CA1910173,Elections
CA1910179,Elections
CA1910186,Elections
CA1910052,Elections
CA1910139,Elections
CA1910189,N/A
CA1910039,N/A
CA1910191,Elections
CA1910194,Elections
CA1910199,Elections
"CA1910200
",N/A
CA1910204 ,Appointment
CA1910213,Elections
CA1910218,Elections
CA1910225,Elections
CA1910234,Elections
CA1910239,Elections
"CA1910242
",Elections
CA1910244,Elections
CA1910245,Elections
CA1910246,N/A
CA1910249,N/A
"CA1910250
",Elections
CA1990003,Elections
CA1910247,Elections
CA1910017,Elections
CA1910255,Elections
CA1910240,Elections
CA1910096,Elections
CA1910048,Elections
CA1910243 ,Elections
CA1910010 ,Elections
CA1910033,Elections
CA1910134 ,Elections
CA1910104,Elections
CA1910036,Elections
CA1910185,Appointment
CA1910070 ,Appointment
CA1910027,Appointment
CA1910248,Appointment
CA1910005,Appointment
CA1910025 ,Appointment
CA1910203,Appointment
CA1910075 ,Appointment
CA1910147 ,Appointment
CA1910046,N/A
CA1910059,N/A
CA1910205 ,N/A
CA1910174,N/A
